OBJECTID,SchoolId,EfClass,Tract,YearBuilt,NumStories,Cost,Area,Latitude,Longitude,HUSBT,SO,Name,Address,City,Zipcode,Statea,Contact,PhoneNumber,NumStudents,BackupPower,ShelterCapacity,District,Kitchen
2535,HI001639,EFS1,15003007805,1974,2,5241900,17473,21.398872,-157.953306,MERBL,EDU1,Waiau Elementary - Bldg D,98-450 HOOKANIKE ST,PEARL CITY,96782,HI,NULL,NULL,0,0,0,NULL,0
2536,HI001640,EFS1,15003007805,1979,2,2921400,9738,21.398872,-157.953306,MERBL,EDU1,Waiau Elementary - Bldg F,98-450 HOOKANIKE ST,PEARL CITY,96782,HI,NULL,NULL,0,0,0,NULL,0
2537,HI001641,EFS1,15003001700,1964,2,3047400,10158,21.267946,-157.814481,MERBL,EDU1,Waikiki Elementary - Bldg B,3710 LEAHI AVE,HONOLULU,96815,HI,NULL,NULL,0,0,0,NULL,0
2538,HI001642,EFS1,15003001700,1964,2,3047400,10158,21.267946,-157.814481,MERBL,EDU1,Waikiki Elementary - Bldg C,3710 LEAHI AVE,HONOLULU,96815,HI,NULL,NULL,0,0,0,NULL,0
2539,HI001643,EFS1,15003008002,1961,1,1679400,5598,21.389983,-157.950386,MERBL,EDU1,Waimalu Elementary - Bldg A,98-825 MOANALUA RD,AIEA,96701,HI,NULL,NULL,0,0,0,NULL,0
2540,HI001644,EFS1,15003008002,1961,1,1200325,6859,21.389983,-157.950386,WSF1,EDU1,Waimalu Elementary - Bldg B,98-825 MOANALUA RD,AIEA,96701,HI,NULL,NULL,0,0,0,NULL,0
2541,HI001645,EFS1,15003008002,1961,2,4057800,13526,21.389983,-157.950386,MERBL,EDU1,Waimalu Elementary - Bldg D,98-825 MOANALUA RD,AIEA,96701,HI,NULL,NULL,0,0,0,NULL,0
2542,HI001646,EFS1,15003008002,1961,2,4008600,13362,21.389983,-157.950386,MERBL,EDU1,Waimalu Elementary - Bldg E,98-825 MOANALUA RD,AIEA,96701,HI,NULL,NULL,0,0,0,NULL,0
2543,HI001647,EFS1,15003000106,1967,1,1323300,4411,21.296229,-157.710167,MERBL,EDU1,Hahaione Elementary - Bldg A,595 PEPEEKEO ST,HONOLULU,96825,HI,NULL,NULL,0,0,0,NULL,0
2544,HI001648,EFS1,15003000106,1967,1,1323300,4411,21.296229,-157.710167,MERBL,EDU1,Hahaione Elementary - Bldg B,595 PEPEEKEO ST,HONOLULU,96825,HI,NULL,NULL,0,0,0,NULL,0
