Name,Address,City,Zipcode,Statea,Building_Cost,Content_Cost,Building_Area,HUSBT,YearBuilt,NumStories,SchoolId,EfClass,Tract,Y,X,Occupancy
Kapiolani Medical Center,1637 Bingham St,Honolulu,96826,HI,16800000,25200000,55565,CERBM,1964,5,HI000055,EFHL,15003002600,21.29941,-157.83281,COM6
Kapiolani Medical Center,1637 Bingham St,Honolulu,96826,HI,16800000,25200000,55565,CERBM,1978,5,HI000057,EFHL,15003002600,21.29941,-157.83281,COM6
Kapiolani Medical Center,1637 Bingham St,Honolulu,96826,HI,16800000,25200000,55565,CERBH,1977,7,HI000060,EFHL,15003002600,21.29941,-157.83281,COM6
Kapiolani Medical Center,1637 Bingham St,Honolulu,96826,HI,16800000,25200000,55565,WSF2,1938,2,HI000054,EFHL,15003002600,21.29941,-157.83281,COM6
Kapiolani Medical Center,1637 Bingham St,Honolulu,96826,HI,16800000,25200000,55565,WSF2,1951,2,HI000058,EFHL,15003002600,21.29941,-157.83281,COM6
Kapiolani Medical Center,1637 Bingham St,Honolulu,96826,HI,16800000,25200000,55565,WSF1,1965,1,HI000059,EFHL,15003002600,21.29941,-157.83281,COM6
Leahi Hospital,3675 Kilauea Ave,Honolulu,96816,HI,16800000,25200000,55565,CERBM,NULL,1,HI000061,EFHL,15003000800,21.27303,-157.80201,COM6
Queen's HC Center,91-599 Farrington Hwy,Kapolei,96707,HI,16800000,25200000,55565,CERBL,1999,1,HI000093,EFHL,15003011500,21.33215,-158.08104,COM6
Queen's Health Care Center,377 Keahole St,Honolulu,96825,HI,16800000,25200000,55565,CERBL,1982,2,HI000064,EFHL,15003000108,21.28503,-157.70682,COM6
Queens Medical Center,1236 Lauhala St,Honolulu,96813,HI,16800000,25200000,55565,CERBH,NULL,1,HI000046,EFHL,15003004100,21.30782,-157.85394,COM6
St Francis MC,2230 Liliha St,Honolulu,96817,HI,16800000,25200000,55565,CERBH,NULL,1,HI000044,EFHL,15003004700,21.32954,-157.85266,COM6
St. Francis MC - West,2139 Fort Weaver Rd,Ewa Beach,96706,HI,16800000,25200000,55565,CERBM,1989,5,HI000090,EFHL,15003008614,21.37086,-158.02729,COM6
