,NAME,ADDRESS,CITY,ZIPCODE,STATEA,BUILDING_COST,CONTENT_COST,BUILDING_AREA,HUSBT,YEARBUILT,NUMSTORIES,SCHOOLID,EFCLASS,TRACT,LATITUDE,LONGITUDE,OCCUPANCY,CENSUSBLOCK,TERRAINID
783,Maili Elementary - Bldg F,87-360 KULAAUPUNI ST,WAIANAE,96792,HI,1569000,1569000,5230,MERBL,1972,1,HI001325,EFS1,15003009603,21.420021,-158.171987,EDU1,1.5003E+14,4
784,Kuhio Elementary - Bldg H,2759 S KING ST,HONOLULU,96826,HI,4127400,4127400,13758,MERBL,1976,2,HI001277,EFS1,15003002300,21.28961,-157.819758,EDU1,1.5003E+14,4
785,Kuhio Elementary - Bldg C,2759 S KING ST,HONOLULU,96826,HI,2545800,2545800,8486,MERBL,1963,2,HI001276,EFS1,15003002300,21.28961,-157.819758,EDU1,1.5003E+14,4
786,Kuhio Elementary - Bldg B,2759 S KING ST,HONOLULU,96826,HI,1100400,1100400,3668,MERBL,1950,1,HI001275,EFS1,15003002300,21.28961,-157.819758,EDU1,1.5003E+14,4
787,Waipahu Intermediate - Bldg M,94-427 FARRINGTON HWY,WAIPAHU,96797,HI,4121400,4121400,13738,MERBL,1980,2,HI001870,EFS1,15003008703,21.380558,-158.012875,EDU1,1.5003E+14,4
788,Waipahu Intermediate - Bldg Y,94-427 FARRINGTON HWY,WAIPAHU,96797,HI,3846000,3846000,12820,MERBL,1962,2,HI001872,EFS1,15003008703,21.380558,-158.012875,EDU1,1.5003E+14,4
789,Waipahu Intermediate - Bldg J,94-427 FARRINGTON HWY,WAIPAHU,96797,HI,3822000,3822000,12740,MERBL,1985,2,HI001868,EFS1,15003008703,21.380558,-158.012875,EDU1,1.5003E+14,4
790,Waipahu Intermediate - Bldg E,94-427 FARRINGTON HWY,WAIPAHU,96797,HI,3313500,3313500,11045,MERBL,1996,2,HI001709,EFS1,15003008703,21.380558,-158.012875,EDU1,1.5003E+14,4
791,Waipahu Intermediate - Bldg C,94-427 FARRINGTON HWY,WAIPAHU,96797,HI,3226200,3226200,10754,MERBL,1987,2,HI001708,EFS1,15003008703,21.380558,-158.012875,EDU1,1.5003E+14,4
792,Waipahu Intermediate - Bldg L,94-427 FARRINGTON HWY,WAIPAHU,96797,HI,2668800,2668800,8896,MERBL,1975,1,HI001869,EFS1,15003008703,21.380558,-158.012875,EDU1,1.5003E+14,4
