OBJECTID,CensusBlock,SURFACEROUGHNESS,SRIndex
2677,150010210103053,0.28600000,0.29000000
2678,150010210103054,0.43500000,0.44000000
2679,150010210131299,0.50200000,0.50000000
2680,150010210133056,0.50300000,0.50000000
2681,150010210102064,0.07700000,0.08000000
2682,150010210112025,0.19200000,0.19000000
2683,150010210112003,0.17800000,0.18000000
2684,150010210133050,0.34600000,0.35000000
2685,150010210133046,0.34700000,0.35000000
2686,150010210131277,0.30300000,0.30000000
2687,150010210133022,0.22200000,0.22000000
2688,150010210131287,0.43300000,0.43000000
2689,150010210131295,0.32100000,0.32000000
2690,150010210133013,0.16500000,0.16000000
2691,150010210102027,0.09200000,0.09000000
2692,150010210102021,0.32200000,0.32000000
2693,150010210052000,0.34300000,0.34000000
2694,150010215093009,0.20000000,0.20000000
2695,150010220001044,0.09700000,0.10000000
2696,150010220001052,0.10400000,0.10000000
2697,150010220001054,0.08500000,0.08000000
2698,150010201001080,0.15800000,0.16000000
2699,150010201003033,0.10600000,0.11000000
2700,150010201001126,0.19800000,0.20000000
2701,150010201001114,0.08000000,0.08000000
2702,150010201003023,0.16100000,0.16000000
2703,150010201001115,0.06100000,0.06000000
2704,150010201001128,0.14000000,0.14000000
2705,150010201001143,0.21300000,0.21000000
2706,150010201001170,0.38900000,0.39000000
2707,150010201001172,0.39700000,0.40000000
2708,150010201003114,0.28900000,0.29000000
2709,150010201001071,0.10300000,0.10000000
2710,150010201003042,0.09400000,0.09000000
2711,150010201003054,0.16500000,0.16000000
2712,150010206001007,0.30000000,0.30000000
2713,150010208011002,0.28500000,0.28000000
2714,150010206004048,0.34800000,0.35000000
2715,150010206004029,0.49200000,0.49000000
2716,150010206003003,0.37800000,0.38000000
2717,150010206002014,0.27500000,0.28000000
2718,150010206003006,0.33900000,0.34000000
2719,150010206003016,0.36300000,0.36000000
2720,150010206003007,0.34800000,0.35000000
2721,150010206001059,0.39700000,0.40000000
2722,150010206001034,0.32800000,0.33000000
2723,150010206002177,0.53100000,0.53000000
2724,150010205002003,0.48400000,0.48000000
2725,150010205004008,0.50700000,0.51000000
2726,150010205002005,0.45800000,0.46000000
2727,150010205002009,0.48300000,0.48000000
2728,150010212021352,0.04700000,0.05000000
2729,150010212021355,0.05500000,0.06000000
2730,150010212021312,0.05700000,0.06000000
2731,150010212022190,0.07600000,0.08000000
2732,150010212022176,0.09100000,0.09000000
2733,150010212021138,0.05800000,0.06000000
2734,150010221022007,0.28100000,0.28000000
2735,150010221022036,0.29000000,0.29000000
2736,150010221021166,0.18000000,0.18000000
2737,150010221021163,0.14800000,0.15000000
2738,150010221021198,0.13900000,0.14000000
2739,150010221021352,0.10600000,0.11000000
2740,150010221021331,0.13200000,0.13000000
